Price surface,Time to maturity,Strikes,European call price
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,16.85,16.6,16.3,16.05,15.75,15.35,15,14.65,14.2,13.8,13.35,12.9,12.45,12,11.55,11.15,10.75,10.35,10,9.65
0,18,17.75,17.5,17.25,17,16.75,16.45,16.1,15.75,15.4,15,14.65,14.2,13.8,13.35,12.95,12.55,12.1,11.7,11.3,10.95
0,19,18.75,18.45,18.2,17.9,17.65,17.35,17,16.7,16.3,15.95,15.6,15.2,14.8,14.4,14,13.6,13.2,12.8,12.45,12.05
0,19.9,19.65,19.4,19.1,18.85,18.55,18.25,17.95,17.6,17.25,16.85,16.5,16.1,15.75,15.4,15,14.6,14.25,13.85,13.5,13.1
0,20.8,20.55,20.25,20,19.7,19.4,19.1,18.75,18.45,18.1,17.75,17.4,17,16.65,16.3,15.95,15.6,15.25,14.9,14.55,14.15
0,21.65,21.4,21.1,20.85,20.55,20.3,19.95,19.65,19.35,19,18.65,18.3,17.95,17.55,17.2,16.85,16.5,16.15,15.85,15.5,15.1
0,22.45,22.2,21.95,21.65,21.35,21.05,20.75,20.45,20.15,19.85,19.5,19.15,18.8,18.45,18.1,17.75,17.4,17.05,16.7,16.35,16
0,23.3,23,22.75,22.5,22.2,21.95,21.65,21.35,21,20.7,20.35,20,19.65,19.3,18.95,18.6,18.25,17.9,17.55,17.2,16.85
0,24.15,23.9,23.6,23.35,23.05,22.75,22.5,22.2,21.9,21.6,21.25,20.9,20.55,20.2,19.85,19.5,19.15,18.8,18.45,18.1,17.75
0,25,24.7,24.5,24.2,23.9,23.6,23.3,23,22.7,22.4,22.05,21.7,21.35,21,20.65,20.3,19.95,19.6,19.25,18.9,18.55
